timestamp,epoch,train_loss,val_loss,val_dice,lr,is_best
2025-10-26T15:46:13.127737,1,0.862739,0.810965,0.394501,0.0001,1
2025-10-26T15:47:04.506730,2,0.800667,0.782934,0.446853,0.0001,1
2025-10-26T15:47:57.953952,3,0.777733,0.764875,0.452463,0.0001,1
2025-10-26T15:48:56.679379,4,0.762545,0.751830,0.478988,0.0001,1
2025-10-26T15:49:51.477927,5,0.750050,0.739666,0.527641,0.0001,1
2025-10-26T15:50:46.006686,6,0.738524,0.728582,0.537676,0.0001,1
2025-10-26T15:51:39.009017,7,0.727271,0.717607,0.624377,0.0001,1
2025-10-26T15:52:33.559074,8,0.714507,0.703917,0.718120,0.0001,1
2025-10-26T15:53:34.434095,9,0.700990,0.689393,0.746858,0.0001,1
2025-10-26T15:54:47.550307,10,0.686214,0.676292,0.784579,0.0001,1
2025-10-26T15:56:02.499883,11,0.673852,0.664032,0.807319,0.0001,1
2025-10-26T15:57:03.351145,12,0.662234,0.652465,0.823960,0.0001,1
2025-10-26T15:58:21.377722,13,0.650790,0.641356,0.831975,0.0001,1
